Frequency(Hz),Air,Water,NaOH,HCl,NaCl,Ethanol,Glycerol,nothing
132573333,-65.59,-71.98,-67.9,-68.43,-67.09,-70.1,-68.53,-65.26
132960000,-65.23,-71.54,-67.53,-67.8,-66.64,-70.17,-68.1,-64.85
133346667,-65.01,-71.14,-66.93,-67.37,-66.13,-69.67,-67.82,-64.6
133733333,-64.74,-70.93,-66.57,-66.92,-65.59,-69.39,-67.58,-64.43
134120000,-64.21,-70.42,-65.92,-66.15,-64.97,-68.89,-67.17,-63.9
134506667,-63.82,-70.22,-65.26,-65.66,-64.51,-68.87,-66.78,-63.42
134893333,-63.43,-69.86,-64.64,-64.83,-63.83,-68.48,-66.39,-63.19
135280000,-62.97,-69.17,-63.88,-64.18,-63.16,-68.11,-66.1,-62.54
135666667,-62.54,-68.51,-63.18,-63.36,-62.42,-67.96,-65.66,-62.28
136053333,-62.13,-67.95,-62.49,-62.65,-61.66,-67.54,-65.16,-61.78
136440000,-61.53,-67.22,-61.57,-61.82,-60.82,-67.04,-64.71,-61.21
136826667,-61.08,-66.43,-60.89,-60.82,-60.16,-66.67,-64.22,-60.63
137213333,-60.51,-65.67,-60.1,-60.22,-59.44,-66.31,-63.71,-60.13
137600000,-59.96,-65.07,-59.52,-59.57,-58.95,-65.66,-63.31,-59.6
137986667,-59.52,-64.14,-58.92,-59.02,-58.41,-65.15,-62.7,-59.08
138373333,-58.9,-63.74,-58.69,-58.69,-58.12,-64.87,-62.21,-58.55
138760000,-58.54,-63.25,-58.58,-58.57,-58.04,-64.66,-61.98,-58.17
139146667,-58.21,-63.02,-58.5,-58.49,-58.01,-64.36,-61.8,-57.83
139533333,-58.02,-62.92,-58.58,-58.56,-58.12,-64.29,-61.74,-57.63
139920000,-58.05,-62.84,-58.72,-58.75,-58.29,-64.37,-61.79,-57.62
140306667,-58.16,-62.8,-58.91,-58.9,-58.5,-64.67,-61.95,-57.69
140693333,-58.4,-62.96,-59.15,-59.19,-58.79,-64.86,-62.19,-57.85
141080000,-58.86,-63.18,-59.44,-59.45,-59.02,-65.23,-62.37,-58.36
141466667,-59.4,-63.2,-59.68,-59.62,-59.22,-65.33,-62.67,-58.83
141853333,-59.94,-63.32,-59.76,-59.79,-59.36,-65.71,-62.86,-59.36
142240000,-60.59,-63.37,-59.88,-59.9,-59.53,-65.82,-63.16,-59.98
142626667,-61.26,-63.46,-59.94,-60.02,-59.69,-66.02,-63.31,-60.53
143013333,-61.95,-63.33,-59.9,-59.91,-59.57,-66.03,-63.51,-61.17
143400000,-62.45,-63.12,-59.95,-59.82,-59.5,-65.99,-63.53,-61.84
143786667,-63.12,-63.03,-59.83,-59.73,-59.46,-66,-63.66,-62.45
144173333,-63.6,-62.72,-59.57,-59.5,-59.25,-65.67,-63.67,-62.92
144560000,-64.18,-62.56,-59.34,-59.3,-59.05,-65.58,-63.54,-63.52
144946667,-64.65,-61.98,-59.05,-58.99,-58.84,-65.16,-63.39,-64.05
145333333,-65.3,-61.55,-58.57,-58.7,-58.44,-64.95,-63.08,-64.39
145720000,-65.71,-61.05,-58.27,-58.24,-58.07,-64.44,-62.78,-64.8
146106667,-66.28,-60.63,-57.86,-57.79,-57.71,-64.1,-62.5,-65.28
146493333,-66.62,-60.01,-57.39,-57.32,-57.2,-63.38,-62.19,-65.89
146880000,-67.07,-59.47,-56.96,-56.82,-56.79,-62.93,-61.73,-66.08
147266667,-67.4,-58.9,-56.5,-56.41,-56.38,-62.41,-61.29,-66.47
147653333,-67.64,-58.46,-55.92,-55.93,-55.94,-61.78,-60.86,-66.79
148040000,-67.67,-57.83,-55.54,-55.47,-55.44,-61.22,-60.39,-66.87
148426667,-68.06,-57.38,-55.13,-55.02,-55.08,-60.64,-60.01,-67.22
148813333,-68.21,-56.88,-54.79,-54.71,-54.77,-60.19,-59.5,-67.39
149200000,-68.27,-56.37,-54.4,-54.35,-54.4,-59.65,-59.19,-67.66
149586667,-68.31,-56.07,-54.18,-54.07,-54.2,-59.3,-58.82,-67.65
149973333,-68.29,-55.78,-53.96,-53.89,-53.97,-58.9,-58.49,-67.93
150360000,-68.3,-55.48,-53.79,-53.7,-53.79,-58.48,-58.24,-68.17
150746667,-68.33,-55.32,-53.67,-53.61,-53.73,-58.3,-58.01,-68.36
151133333,-68.33,-55.24,-53.67,-53.58,-53.66,-58.15,-57.84,-68.33
151520000,-68.32,-55.18,-53.62,-53.57,-53.67,-58,-57.74,-68.44
151906667,-68.36,-55.21,-53.68,-53.64,-53.69,-58.03,-57.76,-68.66
152293333,-68.33,-55.29,-53.85,-53.73,-53.85,-58.06,-57.76,-68.92
152680000,-68.62,-55.48,-54.05,-53.92,-54,-58.13,-57.92,-68.95
153066667,-68.71,-55.66,-54.18,-54.07,-54.21,-58.21,-58.05,-69.37
153453333,-68.83,-55.9,-54.45,-54.37,-54.51,-58.51,-58.23,-69.4
153840000,-69.34,-56.23,-54.78,-54.68,-54.85,-58.88,-58.51,-69.75
154226667,-69.63,-56.48,-55.03,-54.98,-55.09,-59.12,-58.84,-70.12
154613333,-69.75,-56.94,-55.41,-55.3,-55.5,-59.64,-59.21,-70.57
155000000,-70.18,-57.39,-55.88,-55.75,-55.85,-60.01,-59.65,-71.02
155386667,-70.82,-57.75,-56.23,-56.17,-56.26,-60.44,-60.02,-71.23
155773333,-70.88,-58.16,-56.61,-56.48,-56.65,-60.92,-60.35,-71.68
156160000,-71.5,-58.73,-57.1,-56.96,-57.03,-61.41,-60.85,-72.12
156546667,-71.81,-59.17,-57.49,-57.37,-57.47,-61.83,-61.42,-72.14
156933333,-72.15,-59.53,-57.93,-57.8,-57.85,-62.33,-61.74,-72.65
157320000,-72.6,-60.06,-58.34,-58.22,-58.27,-62.91,-62.35,-72.94
157706667,-72.93,-60.54,-58.69,-58.63,-58.74,-63.3,-62.74,-73.35
158093333,-73.11,-60.94,-59.18,-59.05,-59.11,-63.78,-63.05,-73.57
158480000,-73.81,-61.5,-59.59,-59.55,-59.53,-64.35,-63.61,-73.82
158866667,-73.52,-61.82,-59.96,-59.92,-59.93,-64.68,-64.09,-74.06
159253333,-74.16,-62.28,-60.29,-60.27,-60.34,-65.21,-64.46,-74.3
159640000,-74.5,-62.62,-60.74,-60.62,-60.63,-65.6,-64.75,-74.27
160026667,-74.6,-62.94,-61.09,-60.92,-60.99,-65.98,-65.31,-74.83
160413333,-74.79,-63.35,-61.46,-61.27,-61.48,-66.28,-65.61,-74.89
160800000,-74.91,-63.75,-61.82,-61.74,-61.65,-66.71,-66.01,-74.82
161186667,-74.63,-64.18,-62.06,-62.07,-62.07,-67.13,-66.35,-74.65
161573333,-74.98,-64.52,-62.45,-62.4,-62.35,-67.43,-66.63,-75.22
161960000,-74.83,-64.8,-62.83,-62.65,-62.66,-67.6,-66.88,-75.19
162346667,-74.99,-65.13,-63.02,-62.94,-62.97,-68.1,-67.18,-74.76
162733333,-74.53,-65.4,-63.37,-63.36,-63.26,-68.39,-67.44,-75.14
163120000,-74.61,-65.67,-63.6,-63.51,-63.5,-68.75,-67.6,-75.61
163506667,-74.8,-65.97,-63.81,-63.82,-63.82,-68.69,-67.94,-74.81
163893333,-74.86,-66.11,-64.12,-64.12,-64.04,-68.98,-68.2,-74.77
164280000,-74.66,-66.36,-64.37,-64.37,-64.18,-69.1,-68.21,-74.33
164666667,-74.58,-66.63,-64.54,-64.43,-64.45,-69.25,-68.41,-74.35
165053333,-74.47,-66.93,-64.73,-64.67,-64.75,-69.44,-68.36,-74.84
165440000,-73.98,-66.97,-64.88,-64.82,-64.73,-69.4,-68.62,-74.24
165826667,-74.11,-67.02,-64.99,-65.07,-64.83,-69.59,-68.66,-74.06
166213333,-73.73,-67.24,-65.21,-65.23,-65.28,-69.6,-68.57,-73.75
166600000,-73.4,-67.24,-65.36,-65.4,-65.22,-69.42,-68.52,-73.39
166986667,-73.16,-67.41,-65.45,-65.62,-65.17,-69.63,-68.57,-73.08
167373333,-72.84,-67.33,-65.44,-65.66,-65.38,-69.22,-68.4,-72.97
167760000,-72.36,-67.26,-65.57,-65.71,-65.47,-69.18,-68.14,-72.67
168146667,-72.06,-67.31,-65.54,-65.75,-65.28,-69.02,-68.03,-71.99
168533333,-71.42,-67.03,-65.51,-65.63,-65.46,-68.81,-67.94,-71.87
168920000,-70.99,-67.02,-65.49,-65.57,-65.34,-68.52,-67.7,-71.31
169306667,-70.59,-66.67,-65.39,-65.55,-65,-68.16,-67.54,-70.73
169693333,-70.28,-66.59,-65.15,-65.3,-65,-67.84,-67.04,-70.45
170080000,-69.88,-66.32,-64.93,-65.35,-64.76,-67.31,-66.72,-69.8
170466667,-69.21,-65.82,-64.7,-65.01,-64.5,-67.05,-66.5,-69.22
170853333,-68.75,-65.5,-64.47,-64.71,-64.02,-66.49,-65.87,-68.9
171240000,-68.25,-65.07,-63.97,-64.34,-63.84,-66.03,-65.46,-68.5
171626667,-67.81,-64.48,-63.59,-63.96,-63.18,-65.62,-65.06,-67.86
172013333,-67.29,-64.07,-63.14,-63.43,-62.78,-65.09,-64.6,-67.47
172400000,-66.74,-63.48,-62.62,-63.04,-62.4,-64.43,-64.09,-66.83
172786667,-66.17,-62.97,-62.11,-62.4,-61.83,-63.86,-63.45,-66.37
173173333,-65.81,-62.41,-61.52,-61.98,-61.13,-63.39,-62.95,-65.9
173560000,-65.21,-61.81,-61.02,-61.33,-60.68,-62.7,-62.55,-65.39
173946667,-64.66,-61.21,-60.33,-60.75,-60.05,-62.2,-61.96,-64.87
174333333,-64.01,-60.58,-59.83,-60.14,-59.49,-61.63,-61.37,-64.32
174720000,-63.65,-60,-59.18,-59.5,-58.85,-61,-60.99,-63.82
175106667,-63.17,-59.4,-58.54,-58.89,-58.25,-60.39,-60.36,-63.4
175493333,-62.68,-58.87,-57.95,-58.3,-57.6,-59.84,-59.74,-62.82
175880000,-62.26,-58.21,-57.38,-57.74,-57.04,-59.33,-59.39,-62.44
176266667,-61.86,-57.78,-56.79,-57.16,-56.36,-58.91,-58.85,-62.02
176653333,-61.42,-57.23,-56.18,-56.6,-55.82,-58.35,-58.33,-61.59
177040000,-61.13,-56.74,-55.67,-56.04,-55.33,-57.99,-57.93,-61.28
177426667,-60.79,-56.3,-55.12,-55.51,-54.86,-57.58,-57.6,-61.03
177813333,-60.5,-55.81,-54.64,-55.03,-54.28,-57.11,-57.16,-60.7
178200000,-60.23,-55.41,-54.21,-54.59,-53.85,-56.75,-56.87,-60.48
178586667,-60.08,-55.1,-53.8,-54.24,-53.45,-56.53,-56.59,-60.36
178973333,-59.84,-54.72,-53.37,-53.76,-52.97,-56.2,-56.31,-60.06
179360000,-59.7,-54.41,-53,-53.38,-52.57,-56,-56.04,-59.94
179746667,-59.63,-54.14,-52.62,-53.02,-52.19,-55.74,-55.83,-59.85
180133333,-59.61,-53.85,-52.24,-52.69,-51.78,-55.57,-55.7,-59.85
180520000,-59.5,-53.52,-51.79,-52.31,-51.37,-55.33,-55.47,-59.74
180906667,-59.62,-53.3,-51.43,-51.93,-50.96,-55.23,-55.33,-59.73
181293333,-59.61,-53.02,-51.02,-51.57,-50.55,-55.1,-55.22,-59.79
181680000,-59.62,-52.68,-50.49,-51.11,-50.05,-54.92,-55.01,-59.83
182066667,-59.7,-52.37,-50.08,-50.69,-49.62,-54.79,-54.92,-59.91
182453333,-59.77,-52.07,-49.57,-50.22,-49.09,-54.66,-54.81,-60.06
182840000,-59.8,-51.59,-48.92,-49.69,-48.48,-54.4,-54.6,-60.14
183226667,-59.93,-51.14,-48.34,-49.15,-47.9,-54.29,-54.44,-60.19
183613333,-60.06,-50.64,-47.73,-48.6,-47.31,-54.03,-54.27,-60.27
184000000,-60.08,-49.95,-47.02,-47.94,-46.65,-53.67,-53.95,-60.37
184386667,-60.13,-49.3,-46.38,-47.3,-46.07,-53.3,-53.69,-60.42
184773333,-60.14,-48.54,-45.75,-46.72,-45.52,-52.91,-53.38,-60.47
185160000,-60.17,-47.7,-45.17,-46.13,-45.03,-52.34,-52.98,-60.46
185546667,-60.05,-46.82,-44.72,-45.62,-44.65,-51.79,-52.56,-60.42
185933333,-60.06,-45.91,-44.36,-45.19,-44.39,-51.21,-52.14,-60.45
186320000,-59.84,-45.01,-44.15,-44.84,-44.26,-50.55,-51.65,-60.29
186706667,-59.6,-44.16,-44.02,-44.64,-44.17,-49.8,-51.13,-60.12
187093333,-59.31,-43.44,-44.02,-44.54,-44.2,-49.04,-50.64,-59.91
187480000,-59.06,-42.9,-44.12,-44.51,-44.31,-48.25,-50.11,-59.6
187866667,-58.55,-42.47,-44.24,-44.54,-44.45,-47.4,-49.51,-59.23
188253333,-58.18,-42.34,-44.42,-44.63,-44.64,-46.68,-49.08,-58.81
188640000,-57.82,-42.35,-44.69,-44.82,-44.93,-45.99,-48.65,-58.36
189026667,-57.29,-42.45,-45,-45.04,-45.19,-45.27,-48.21,-57.9
189413333,-56.75,-42.71,-45.28,-45.28,-45.49,-44.76,-47.87,-57.41
189800000,-56.32,-43.12,-45.62,-45.6,-45.83,-44.38,-47.65,-56.96
190186667,-55.72,-43.62,-46.01,-45.95,-46.22,-44.09,-47.41,-56.48
190573333,-55.19,-44.08,-46.35,-46.26,-46.54,-43.97,-47.33,-55.99
190960000,-54.76,-44.67,-46.79,-46.68,-47.01,-44.03,-47.34,-55.52
191346667,-54.27,-45.3,-47.27,-47.12,-47.46,-44.24,-47.4,-55.03
191733333,-53.76,-45.89,-47.66,-47.52,-47.84,-44.52,-47.52,-54.57
192120000,-53.26,-46.52,-48.19,-47.98,-48.37,-45.02,-47.8,-54.1
192506667,-52.79,-47.19,-48.67,-48.53,-48.86,-45.6,-48.11,-53.66
192893333,-52.25,-47.79,-49.16,-48.98,-49.33,-46.19,-48.49,-53.2
193280000,-51.78,-48.44,-49.67,-49.47,-49.81,-46.85,-48.92,-52.74
193666667,-51.33,-49.12,-50.21,-50.03,-50.41,-47.63,-49.48,-52.32
194053333,-50.77,-49.78,-50.74,-50.56,-50.9,-48.33,-49.99,-51.83
194440000,-50.3,-50.38,-51.2,-51.05,-51.35,-49.03,-50.57,-51.39
194826667,-49.86,-51.04,-51.8,-51.56,-51.92,-49.83,-51.17,-50.95
195213333,-49.42,-51.7,-52.34,-52.16,-52.45,-50.55,-51.77,-50.49
195600000,-49,-52.28,-52.84,-52.64,-52.96,-51.24,-52.34,-50.05
195986667,-48.75,-52.94,-53.34,-53.2,-53.5,-52.02,-53.04,-49.71
196373333,-48.53,-53.53,-53.92,-53.76,-54.04,-52.71,-53.73,-49.45
196760000,-48.46,-54.1,-54.34,-54.19,-54.53,-53.39,-54.29,-49.28
197146667,-48.6,-54.65,-54.87,-54.72,-55.01,-54.11,-54.91,-49.24
197533333,-48.9,-55.32,-55.42,-55.24,-55.52,-54.75,-55.57,-49.4
197920000,-49.33,-55.82,-55.85,-55.72,-55.95,-55.43,-56.17,-49.69
198306667,-49.97,-56.33,-56.3,-56.12,-56.36,-55.95,-56.74,-50.16
198693333,-50.8,-56.87,-56.86,-56.64,-56.91,-56.62,-57.37,-50.85
199080000,-51.61,-57.3,-57.22,-57.08,-57.31,-57.15,-57.95,-51.6
199466667,-52.39,-57.67,-57.62,-57.42,-57.65,-57.71,-58.36,-52.36
199853333,-53.25,-58.18,-57.99,-57.89,-58.11,-58.19,-58.96,-53.19
200240000,-54.06,-58.48,-58.38,-58.29,-58.5,-58.61,-59.29,-53.98
200626667,-54.7,-58.84,-58.75,-58.64,-58.73,-58.88,-59.79,-54.64
201013333,-55.4,-59.17,-59.1,-59.01,-59.04,-59.26,-60.13,-55.3
201400000,-55.95,-59.36,-59.35,-59.3,-59.33,-59.6,-60.42,-55.88
201786667,-56.38,-59.49,-59.56,-59.54,-59.53,-59.67,-60.61,-56.23
202173333,-56.73,-59.61,-59.82,-59.88,-59.81,-59.89,-60.72,-56.61
202560000,-57.1,-59.72,-59.94,-60.14,-60.07,-59.89,-60.77,-56.82
202946667,-57.18,-59.67,-60.03,-60.33,-59.98,-59.83,-60.73,-56.97
203333333,-57.26,-59.57,-60.14,-60.48,-60.12,-59.69,-60.62,-57.07
203720000,-57.33,-59.42,-60.24,-60.57,-60.17,-59.59,-60.43,-57.13
204106667,-57.22,-59.11,-60.17,-60.55,-60.14,-59.3,-60.18,-57.05
204493333,-57.13,-58.82,-60.13,-60.62,-60.05,-59.06,-59.9,-57.01
204880000,-57.02,-58.5,-60.14,-60.63,-60.06,-58.71,-59.61,-56.88
205266667,-56.89,-58.09,-60,-60.55,-59.89,-58.36,-59.28,-56.68
205653333,-56.7,-57.69,-59.9,-60.61,-59.81,-58,-58.9,-56.48
206040000,-56.52,-57.3,-59.81,-60.56,-59.88,-57.54,-58.52,-56.34
206426667,-56.28,-56.89,-59.73,-60.54,-59.77,-57.16,-58.19,-56.12
206813333,-55.98,-56.53,-59.65,-60.42,-59.67,-56.72,-57.76,-55.86
207200000,-55.86,-56.13,-59.66,-60.38,-59.76,-56.32,-57.36,-55.73
207586667,-55.63,-55.94,-59.63,-60.4,-59.8,-55.97,-57.09,-55.51
207973333,-55.39,-55.72,-59.69,-60.33,-59.81,-55.59,-56.76,-55.23
208360000,-55.2,-55.72,-59.79,-60.38,-59.86,-55.28,-56.38,-55.07
208746667,-55.06,-55.73,-59.88,-60.44,-60.08,-54.97,-56.14,-54.93
209133333,-54.82,-55.86,-59.93,-60.43,-60.09,-54.75,-55.92,-54.68
209520000,-54.63,-56.11,-59.96,-60.49,-60.25,-54.61,-55.72,-54.6
209906667,-54.51,-56.47,-60.11,-60.49,-60.41,-54.53,-55.62,-54.48
210293333,-54.35,-56.78,-60.16,-60.58,-60.43,-54.5,-55.45,-54.33
210680000,-54.27,-57.21,-60.28,-60.61,-60.52,-54.59,-55.46,-54.24
211066667,-54.19,-57.65,-60.38,-60.7,-60.6,-54.76,-55.47,-54.17
211453333,-54.06,-58.13,-60.48,-60.7,-60.55,-54.97,-55.49,-54.1
211840000,-53.98,-58.44,-60.52,-60.71,-60.61,-55.26,-55.51,-54.05
212226667,-54,-58.85,-60.63,-60.73,-60.69,-55.65,-55.69,-54.01
212613333,-53.98,-59.27,-60.69,-60.87,-60.75,-56.1,-55.91,-54.04
213000000,-53.92,-59.56,-60.76,-60.86,-60.69,-56.45,-56.07,-53.98
213386667,-53.91,-59.74,-60.78,-61,-60.82,-56.95,-56.32,-54.03
213773333,-53.96,-60.12,-60.84,-60.96,-60.87,-57.46,-56.67,-54.06
214160000,-53.89,-60.25,-60.77,-60.95,-60.88,-57.86,-56.92,-54.02
214546667,-53.94,-60.35,-60.86,-61.02,-60.89,-58.25,-57.18,-54.06
214933333,-53.99,-60.55,-60.97,-61.07,-60.98,-58.73,-57.54,-54.12
215320000,-53.99,-60.57,-60.94,-61.16,-60.98,-59.06,-57.78,-54.15
215706667,-54.01,-60.53,-60.98,-61.16,-61.11,-59.33,-58.08,-54.19
216093333,-54.06,-60.77,-61,-61.14,-61.18,-59.73,-58.44,-54.21
216480000,-54.06,-60.83,-60.99,-61.14,-61.16,-59.92,-58.71,-54.23
216866667,-54.06,-60.9,-61,-61.17,-61.18,-60.06,-58.87,-54.24
217253333,-54.12,-60.93,-61.13,-61.23,-61.31,-60.36,-59.23,-54.32
217640000,-54.14,-61,-61.2,-61.23,-61.26,-60.51,-59.44,-54.3
218026667,-54.17,-61.02,-61.22,-61.34,-61.36,-60.68,-59.7,-54.28
218413333,-54.19,-61.11,-61.19,-61.35,-61.36,-60.74,-59.81,-54.35
218800000,-54.33,-61.09,-61.24,-61.42,-61.39,-60.87,-60.06,-54.34
219186667,-54.34,-61.16,-61.17,-61.31,-61.33,-60.97,-60.18,-54.3
219573333,-54.47,-61.07,-61.18,-61.34,-61.42,-61.09,-60.39,-54.33
219960000,-54.72,-61.17,-61.3,-61.42,-61.42,-61.18,-60.53,-54.43
220346667,-54.9,-61.08,-61.19,-61.32,-61.42,-61.16,-60.64,-54.39
220733333,-55.19,-61.18,-61.27,-61.43,-61.3,-61.1,-60.69,-54.5
221120000,-55.66,-61.13,-61.25,-61.44,-61.55,-61.14,-60.88,-54.61
221506667,-56.19,-61.11,-61.31,-61.34,-61.45,-61.22,-61,-54.71
221893333,-56.9,-61.12,-61.27,-61.43,-61.38,-61.26,-60.94,-54.86
222280000,-57.8,-61.18,-61.31,-61.4,-61.38,-61.31,-61.11,-55.21
222666667,-58.82,-61.12,-61.31,-61.37,-61.3,-61.33,-61.15,-55.55
223053333,-60.08,-61.06,-61.24,-61.33,-61.36,-61.14,-61.26,-56
223440000,-61.6,-61.07,-61.24,-61.27,-61.34,-61.26,-61.31,-56.6
223826667,-63.42,-61.08,-61.23,-61.26,-61.38,-61.31,-61.44,-57.32
224213333,-65.09,-60.99,-61.15,-61.31,-61.29,-61.26,-61.37,-58.01
224600000,-66.5,-61.08,-61.16,-61.36,-61.36,-61.2,-61.42,-58.73
224986667,-67.26,-61.03,-61.19,-61.32,-61.31,-61.28,-61.43,-59.39
225373333,-66.78,-60.9,-61.19,-61.3,-61.26,-61.24,-61.51,-59.76
225760000,-65.65,-60.95,-61.16,-61.15,-61.28,-61.19,-61.62,-60.03
226146667,-64.4,-60.95,-61.17,-61.25,-61.25,-61.16,-61.65,-59.93
226533333,-63.17,-60.92,-61.15,-61.26,-61.19,-61.04,-61.52,-59.66
226920000,-62.2,-60.89,-61.13,-61.28,-61.16,-61.04,-61.46,-59.18
227306667,-61.23,-60.84,-61.23,-61.26,-61.21,-61.04,-61.61,-58.82
227693333,-60.39,-60.89,-61.12,-61.32,-61.19,-61.09,-61.6,-58.27
228080000,-59.72,-60.77,-61.04,-61.24,-61.22,-60.9,-61.53,-57.72
228466667,-59.06,-60.84,-61.17,-61.37,-61.21,-60.92,-61.49,-57.36
228853333,-58.56,-60.81,-61.12,-61.29,-61.23,-60.78,-61.37,-56.95
229240000,-58.06,-60.83,-61.14,-61.3,-61.2,-60.76,-61.34,-56.52
229626667,-57.62,-60.75,-61.12,-61.27,-61.21,-60.68,-61.29,-56.26
230013333,-57.28,-60.69,-61.17,-61.29,-61.27,-60.67,-61.26,-55.94
230400000,-56.91,-60.62,-61.17,-61.34,-61.21,-60.55,-61.14,-55.63
230786667,-56.66,-60.67,-61.09,-61.39,-61.2,-60.55,-61,-55.41
231173333,-56.41,-60.75,-61.21,-61.39,-61.27,-60.36,-60.99,-55.3
231560000,-56.16,-60.59,-61.18,-61.29,-61.39,-60.32,-60.87,-55.09
231946667,-55.99,-60.56,-61.29,-61.46,-61.29,-60.24,-60.7,-54.92
232333333,-55.89,-60.59,-61.17,-61.43,-61.31,-60.11,-60.56,-54.82
232720000,-55.71,-60.46,-61.2,-61.36,-61.36,-60.09,-60.42,-54.7
233106667,-55.6,-60.46,-61.07,-61.38,-61.25,-59.96,-60.33,-54.63
233493333,-55.51,-60.34,-61.13,-61.27,-61.17,-59.91,-60.21,-54.56
233880000,-55.39,-60.28,-60.97,-61.32,-61.15,-59.79,-60.13,-54.51
234266667,-55.33,-60.21,-60.94,-61.11,-61.03,-59.74,-59.85,-54.45
234653333,-55.23,-60.09,-60.85,-61.11,-61.02,-59.58,-59.83,-54.43
235040000,-55.21,-60.1,-60.82,-60.98,-60.95,-59.51,-59.66,-54.37
235426667,-55.08,-59.95,-60.67,-60.82,-60.93,-59.32,-59.52,-54.32
235813333,-55.03,-59.81,-60.55,-60.77,-60.78,-59.26,-59.43,-54.31
236200000,-55.07,-59.82,-60.56,-60.73,-60.73,-59.18,-59.29,-54.33
236586667,-55,-59.7,-60.49,-60.63,-60.61,-59.04,-59.17,-54.31
236973333,-55,-59.54,-60.33,-60.47,-60.44,-58.98,-59.02,-54.3
237360000,-55.01,-59.6,-60.33,-60.48,-60.44,-58.88,-59.01,-54.36
237746667,-54.99,-59.46,-60.16,-60.33,-60.34,-58.79,-58.88,-54.34
238133333,-55.01,-59.37,-60.12,-60.23,-60.17,-58.7,-58.69,-54.35
238520000,-55.01,-59.34,-60.05,-60.19,-60.12,-58.66,-58.74,-54.43
238906667,-55.06,-59.31,-60.02,-60.21,-60.14,-58.66,-58.69,-54.45
239293333,-55.08,-59.24,-59.93,-60.06,-60.12,-58.58,-58.62,-54.54
239680000,-55.15,-59.22,-59.93,-60.1,-60.09,-58.64,-58.63,-54.61
240066667,-55.29,-59.29,-59.9,-60.12,-60.09,-58.65,-58.64,-54.75
240453333,-55.33,-59.27,-59.84,-59.97,-59.95,-58.56,-58.55,-54.82
240840000,-55.41,-59.28,-59.93,-59.98,-60.04,-58.66,-58.62,-54.92
241226667,-55.6,-59.38,-59.97,-60.06,-60.1,-58.71,-58.74,-55.09
241613333,-55.72,-59.43,-59.96,-60.07,-60.17,-58.79,-58.78,-55.25
242000000,-55.84,-59.53,-60.06,-60.2,-60.19,-58.88,-58.87,-55.39
242386667,-56.06,-59.62,-60.18,-60.32,-60.31,-59.07,-59.02,-55.63
242773333,-56.29,-59.69,-60.29,-60.33,-60.46,-59.1,-59.1,-55.89
243160000,-56.44,-59.87,-60.41,-60.47,-60.48,-59.31,-59.19,-56.06
243546667,-56.77,-59.99,-60.54,-60.55,-60.6,-59.49,-59.37,-56.27
243933333,-56.97,-60.21,-60.7,-60.76,-60.84,-59.62,-59.59,-56.56
244320000,-57.17,-60.33,-60.76,-60.92,-60.98,-59.83,-59.74,-56.78
244706667,-57.52,-60.57,-60.99,-61.13,-61.14,-60.04,-59.95,-57.08
245093333,-57.79,-60.77,-61.17,-61.25,-61.35,-60.22,-60.21,-57.45
245480000,-58.07,-60.91,-61.41,-61.46,-61.5,-60.53,-60.34,-57.69
245866667,-58.35,-61.22,-61.6,-61.54,-61.65,-60.64,-60.59,-57.96
246253333,-58.67,-61.43,-61.78,-61.8,-61.92,-60.9,-60.84,-58.35
246640000,-58.96,-61.59,-61.85,-62,-62.13,-61.16,-61.01,-58.53
247026667,-59.2,-61.83,-62.13,-62.13,-62.28,-61.31,-61.19,-58.89
247413333,-59.55,-61.99,-62.34,-62.39,-62.51,-61.45,-61.36,-59.26
247800000,-59.8,-62.32,-62.4,-62.51,-62.64,-61.72,-61.61,-59.58
248186667,-60.07,-62.4,-62.61,-62.79,-62.76,-61.9,-61.81,-59.84
248573333,-60.36,-62.59,-62.8,-62.84,-62.94,-62.09,-62.04,-60.1
248960000,-60.5,-62.73,-63.01,-63.06,-63.14,-62.28,-62.14,-60.28
249346667,-60.71,-62.8,-63.06,-63.05,-63.23,-62.32,-62.29,-60.53
249733333,-60.97,-63.06,-63.22,-63.31,-63.24,-62.5,-62.43,-60.84
250120000,-61.2,-63.1,-63.28,-63.34,-63.46,-62.68,-62.59,-60.97
250506667,-61.45,-63.17,-63.44,-63.47,-63.55,-62.65,-62.64,-61.16
250893333,-61.51,-63.3,-63.5,-63.57,-63.64,-62.88,-62.78,-61.36
251280000,-61.79,-63.36,-63.49,-63.67,-63.61,-62.84,-62.81,-61.48
251666667,-61.7,-63.34,-63.6,-63.63,-63.71,-62.95,-62.78,-61.72
252053333,-61.8,-63.33,-63.58,-63.56,-63.73,-62.96,-62.89,-61.76
252440000,-62.07,-63.42,-63.62,-63.79,-63.83,-62.98,-62.98,-61.96
252826667,-62.03,-63.44,-63.61,-63.73,-63.7,-63.06,-62.96,-61.92
253213333,-62.18,-63.45,-63.71,-63.71,-63.7,-63.08,-62.97,-62.04
253600000,-62.16,-63.42,-63.74,-63.84,-63.8,-63.06,-63.08,-62.21
253986667,-62.22,-63.44,-63.73,-63.87,-63.84,-63.11,-63.04,-62.15
254373333,-62.3,-63.36,-63.72,-63.78,-63.74,-63.09,-62.89,-62.31
254760000,-62.42,-63.36,-63.6,-63.81,-63.66,-63.05,-63.03,-62.32
255146667,-62.46,-63.39,-63.76,-63.73,-63.71,-63.05,-63.03,-62.41
